timestamp,device_address,device_name,rssi,beacon_type,company_id,uuid,major,minor,tx_power,service_uuids,frame_type,raw_data
2024-11-03 17:15:42.054,A937C0B3-B49B-4CD6-C187-80F3FE9328E6,Unknown,-85,,0x004C,,,,,,,
2024-11-03 17:15:42.092,E8369D55-F7C6-4E84-63BF-EDE350794EDA,Unknown,-53,,0x004C,,,,,,,
2024-11-03 17:15:42.092,E8369D55-F7C6-4E84-63BF-EDE350794EDA,Unknown,-53,,0x004C,,,,,,,
2024-11-03 17:15:42.093,E8369D55-F7C6-4E84-63BF-EDE350794EDA,Unknown,-53,,0x004C,,,,,,,
2024-11-03 17:15:42.104,472E0BA5-9E49-3762-473F-85677AABA29A,Unknown,-96,,0x004C,,,,,,,
2024-11-03 17:15:42.110,D3B510BD-C2B1-1F3B-AFB6-972B8875E781,Unknown,-68,iBeacon,0x004C,0000fe35-6a67-0c51-87b9-5d7550031006,27933,40677,-17,,,0c0e0000fe356a670c5187b95d75500310066d1d9ee5ef80
2024-11-03 17:15:42.110,D3B510BD-C2B1-1F3B-AFB6-972B8875E781,Unknown,-68,iBeacon,0x004C,0000fe35-6a67-0c51-87b9-5d7550031006,27933,40677,-17,,,0c0e0000fe356a670c5187b95d75500310066d1d9ee5ef80
2024-11-03 17:15:42.113,BB3175F1-0B89-84C3-BC9E-A26A75FE5D0D,Unknown,-98,,0x004C,,,,,,,
2024-11-03 17:15:42.115,BB3175F1-0B89-84C3-BC9E-A26A75FE5D0D,Unknown,-97,,0x004C,,,,,,,
2024-11-03 17:15:42.136,BD76D079-A15F-0080-7219-B0E4ACADBE37,Unknown,-81,,0x004C,,,,,,,
2024-11-03 17:15:42.137,BD76D079-A15F-0080-7219-B0E4ACADBE37,Unknown,-81,,0x004C,,,,,,,
2024-11-03 17:15:42.137,7D4876E0-0CF7-72A9-9C87-3A20FA35684C,Unknown,-61,,0x004C,,,,,,,
2024-11-03 17:15:42.138,7D4876E0-0CF7-72A9-9C87-3A20FA35684C,Unknown,-61,iBeacon,0x004C,03181e67-6401-0000-0000-000000000000,0,32768,0,,,100503181e67640100000000000000000000000080000000
