timestamp,device_address,device_name,rssi,beacon_type,company_id,uuid,major,minor,tx_power,service_uuids,frame_type,raw_data
2024-11-03 17:23:27.438,99C3469A-7C14-07AD-D85C-5405B1DBD353,Unknown,-87,,0x004C,,,,,,,
2024-11-03 17:23:27.438,6F3C9B77-3BD2-9028-8515-91E5DE756F07,LE_WH-1000XM4,-75,,,,,,,,,
2024-11-03 17:23:27.440,6F3C9B77-3BD2-9028-8515-91E5DE756F07,LE_WH-1000XM4,-74,,0x012D,,,,,00000709-0000-1000-8000-00805f9b34fb,,eb7e2b7dac800a2ced660000000000000000
2024-11-03 17:23:27.447,7595EE4D-E886-A109-49DF-167E569F5569,Unknown,-54,iBeacon,0x004C,00aad187-ede5-25a8-58ba-3d698f1b1006,17949,54638,5,,,0c0e00aad187ede525a858ba3d698f1b1006461dd56e0528
2024-11-03 17:23:27.448,7595EE4D-E886-A109-49DF-167E569F5569,Unknown,-54,iBeacon,0x004C,00aad187-ede5-25a8-58ba-3d698f1b1006,17949,54638,5,,,0c0e00aad187ede525a858ba3d698f1b1006461dd56e0528
2024-11-03 17:23:27.451,DA7FD343-32B5-735C-121F-C192D596642A,Unknown,-95,,0x004C,,,,,,,
2024-11-03 17:23:27.453,6E577497-188B-7A88-7DF8-FF24AED02F0C,Unknown,-40,,0x004C,,,,,,,
2024-11-03 17:23:27.458,B8543363-E579-2F62-885C-A103FDB41927,Unknown,-71,,0x004C,,,,,,,
2024-11-03 17:23:27.460,B522BDAC-1FF4-F2A9-7961-034D5ADD7D4E,Unknown,-54,iBeacon,0x004C,00aad187-ede5-25a8-58ba-3d698f1b1006,17949,54638,5,,,0c0e00aad187ede525a858ba3d698f1b1006461dd56e0528
2024-11-03 17:23:27.461,B522BDAC-1FF4-F2A9-7961-034D5ADD7D4E,Unknown,-54,iBeacon,0x004C,00aad187-ede5-25a8-58ba-3d698f1b1006,17949,54638,5,,,0c0e00aad187ede525a858ba3d698f1b1006461dd56e0528
2024-11-03 17:23:27.462,35B9DACC-9AE4-84E6-F093-FED5916CCF9D,Unknown,-77,,0x004C,,,,,,,
2024-11-03 17:23:27.473,5626E2AC-3F62-642E-E38A-35685665C29A,Unknown,-62,,0xEEE8,,,,,daf54701-0000-1000-8000-00805f9b34fb,,cc63fc980000
2024-11-03 17:23:27.473,5626E2AC-3F62-642E-E38A-35685665C29A,Unknown,-62,,0xEEE8,,,,,daf54701-0000-1000-8000-00805f9b34fb,,cc63fc980000
